lat,lon,date,temp,precip,is_fire
37.927613,-120.528836,5/30/2016,23.1,0,TRUE
38.8866,-122.04726,7/15/2016,25.2,0,TRUE
36.49914,-121.04993,6/12/2016,16.2,0,TRUE
40.19611,-122.26736,8/3/2016,29.7,0,TRUE
39.7947,-121.857,6/11/2016,24.2,0,TRUE
36.92244,-119.39619,7/13/2016,27.3,0,TRUE
40.68192,-122.4096,9/10/2016,26.2,0,TRUE
36.6543,-119.5327,9/23/2016,18.4,0,TRUE
36.2833,-121.3306,6/18/2016,17.4,0.17,TRUE
33.41639,-117.08829,5/31/2016,16.7,0,TRUE
39.0863,-122.7891,7/19/2016,18.5,0,TRUE
38.40958,-122.43172,10/10/2016,13.7,0,TRUE
35.77135,-120.251,6/11/2016,17.9,0,TRUE
38.33475,-122.02564,7/22/2016,23.8,0,TRUE
37.98171,-120.64241,7/21/2016,24.4,0,TRUE
36.1934,-120.9293,6/23/2016,21.4,0,TRUE
39.7299,-123.5044,9/10/2016,22.6,0,TRUE
34.3183,-117.3189,9/7/2016,20.8,0,TRUE
38.79549,-121.00299,7/22/2016,24.9,0,TRUE
39.43351,-121.6051,6/21/2016,28.3,0.14,TRUE
39.20427,-121.05948,9/17/2016,24.2,0,TRUE
33.57872,-117.77395,6/26/2016,21.4,0,TRUE
38.5212,-120.8416,9/23/2016,16.9,0,TRUE
36.09974,-120.51057,8/9/2016,21,0,TRUE
34.27619,-118.63264,7/1/2016,22.5,0,TRUE
39.93965,-122.40142,6/21/2016,28.1,0.02,TRUE
38.558,-121.1309,9/11/2016,19.4,0,TRUE
38.01264,-122.1885,7/24/2016,23.2,0,TRUE
39.39051,-120.51887,9/7/2016,19.2,0,TRUE
37.24006,-119.4741,7/29/2016,29.7,0,TRUE
39.8748511,-123.4267011,8/30/2016,19.6,0,TRUE
38.68403,-122.26015,8/9/2016,21.5,0,TRUE
33.22558,-117.14547,8/10/2016,20.2,0.06,TRUE
40.61213,-122.47091,8/9/2016,27.7,0,TRUE
37.96311,-120.67335,7/12/2016,23.8,0,TRUE
38.22017,-120.8678,6/27/2016,28.9,0,TRUE
41.6314,-122.7933,9/12/2016,16.4,0.07,TRUE
37.81434,-120.69521,7/30/2016,30.3,0,TRUE
38.3131,-121.06452,6/3/2016,28.2,0,TRUE
39.8851,-121.6998,9/16/2016,23.8,0.04,TRUE
36.58972,-118.15589,7/1/2016,23.5,0,TRUE
36.80296,-121.40304,6/3/2016,21.9,0,TRUE
39.624017,-121.595093,5/29/2016,25.8,0,TRUE
37.2171,-121.08036,4/24/2016,15.9,0,TRUE
33.254355,-117.158475,11/13/2016,21.1,0.21,TRUE
33.00056,-116.9571,7/22/2016,28.5,0,TRUE
38.2581,-120.8657,8/5/2016,21.4,0,TRUE
41.96191,-122.59328,7/19/2016,21,0,TRUE
37.11831,-121.69784,9/1/2016,16.9,0,TRUE
37.06531,-121.68577,8/12/2016,15.7,0,TRUE
38.64107,-120.6955,6/3/2016,26.6,0,TRUE
35.8378273,-121.0381507,5/12/2016,17.7,0,TRUE
40.61388,-122.46777,6/11/2016,22.9,0,TRUE
40.4572,-124.05804,8/11/2016,13.3,0,TRUE
41.71847,-122.36924,7/21/2016,22.5,0,TRUE
40.9878,-123.77832,8/12/2016,12.2,0,TRUE
34.25858,-117.4415,9/3/2016,20.6,0,TRUE
